,words,words_label,intent_label
0,میخوام برای ناهار  سه تا  کباب برگ از  رستوران سیب سفارش بدم ,O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
1,من میخواهم به  یک  موسیقی از  مایلی سایرس گوش کنم ,O O O O O O B-Artist I-Artist O O ,Play_Music
2,عدد یک آژانس کرایه میدان کن از نقش جهان تا پل خواجو,O O O O B-Departure O O I-Departure I-Departure O B-Destination I-Destination,Catch_a_Cab
3,سه تا کباب برگ سفارش,B-Number I-Number B-Food I-Food O,Order_Food
4,تا هتل اسپسناس میخوام بگیرم تاکسی,O B-Destination I-Destination O O O,Catch_a_Cab
5,لطفا  یه دونه  ترانه از  احسان خواجه امیری بذار ,O O O O O B-Artist I-Artist I-Artist O ,Play_Music
6, شادترین آهنگ  احسان خواجه امیری را پخش کن ,O O B-Artist I-Artist I-Artist O O O ,Play_Music
7, یکشنبه آینده  آفتابیه ,B-Date I-Date O ,Get_Weather
8,میتونی یک سری گل یاس پخش کنی,O O O O B-Artist O O ,Play_Music
9, پیش بینی هوا شناسی  ژوهانسبورگ  شنبه قبل  چی بود ,O O O O B-Location B-Date I-Date O O ,Get_Weather
10, آژانس از اینجا تا  تهرانپارس  چقدر میشه ,O O B-Departure O B-Destination O O ,Catch_a_Cab
11,لطفا برای میان چند وعده از اکبرجوجه فقط سه تا گوشت همبرگر سفارش بده,O O O O O O B-Restaurant O B-Number I-Number O B-Food O O,Order_Food
12,یه دونه تپسی برم رستوران روسی,O O O O B-Destination I-Destination,Catch_a_Cab
13,من دونه یه چیز پرفروش میخوام,O O O O O O,Play_Music
14,لطفا برای  میان وعده از  سیب 360  یک عدد  پیتزای یونانی سفارش بده ,O O O O O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
15,پیش بینی آب و هوا است آتن آفتابی,O O O O O O B-Location O,Get_Weather
16, یه  آژانس میخوام تا من رو ببره  خوابگاه ,O O O O O O O B-Destination ,Catch_a_Cab
17,یه آژانس من میخوام تا رو ببره خوابگاه,O O O O O O O B-Destination,Catch_a_Cab
18,واسه چهار تا جوجه کباب ران اژدر زاپاتا ارزانتر میشه,O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
19,از  نزدیک ترین کافه یه  پیتزای پپرونی سفارش بده ,O B-Restaurant I-Restaurant I-Restaurant B-Number B-Food I-Food O O ,Order_Food
20,میتونی برای  میان وعده یه پیتزا سفارش بدی ,O O O O B-Number B-Food O O ,Order_Food
21, پیش بینی هوا شناسی  دمشق  شنبه قبل چطور بود ,O O O O B-Location B-Date I-Date O O ,Get_Weather
22,هزینه ماشین از توی میدان وکیل تا کافه سکوی سه نه و سه چهارم مغازه چند کیلو تومن میشه,O O O O B-Departure I-Departure O B-Destination I-Destination I-Destination I-Destination I-Destination I-Destination I-Destination O O O O O,Catch_a_Cab
23,یه دونه فیلم موسیقی از گروه کویین هم پخش کن,O O O O O B-Artist I-Artist O O O,Play_Music
24, یه دونه  چیزبرگر سفارش بده ,B-Number I-Number B-Food O O ,Order_Food
25,لطفا یه  موسیقی از  تیلور سویفت پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
26,از موزه بازار تهران کرایه اش چند میشه,O B-Departure B-Destination I-Destination O O O O,Catch_a_Cab
27,در هوا توکیو ابری است,O O B-Location O O,Get_Weather
28,کرایه اش تپسی پل از خواجو ایل تا گلی چند است ریال,O O O B-Departure O I-Departure B-Destination O I-Destination O O O,Catch_a_Cab
29,یه سینگل ترانه پرطرفدار پخش کن,O O O O O O ,Play_Music
30,درجه دما درکل در لندن چقدر است,O O O O B-Location O O,Get_Weather
31,پنجشنبه آینده کرج هوا چه طوریه,B-Date I-Date B-Location O O O,Get_Weather
32,از  بازار موبایل تا  میدان وکیل  هزینه اش  چند ریاله ,O B-Departure I-Departure O B-Destination I-Destination O O O O ,Catch_a_Cab
33,میخوام ناهار سه برای تا کباب کوبیده رستوران از بیست سفارش بدم,O O B-Number O I-Number B-Food I-Food B-Restaurant O I-Restaurant O O,Order_Food
34,لطفا چیز یه از سیاوش بذار قمیشی,O O O O B-Artist O I-Artist,Play_Music
35,هزینه سه تا از چیزبرگر آیدا ساندویچ چنده,O B-Number I-Number O B-Food I-Restaurant B-Restaurant O,Order_Food
36,یک فیلم شاد پخش کن,O O O O O ,Play_Music
37, محبوب ترین  موسیقی  سال 1399 را پخش کن ,O O O O O O O O ,Play_Music
38,پسفردا می تگرگ بارد,B-Date O O O,Get_Weather
39,تا سهروردی تاکسی میخوام بگیرم,O B-Destination O O O,Catch_a_Cab
40,عدد یک چیزبرگر از نزدیک ترین چقدر رستوران است,I-Number B-Number B-Food O B-Restaurant I-Restaurant O I-Restaurant O,Order_Food
41,درجه بعد در دمشق چقدر است,O I-Date O B-Location O O,Get_Weather
42,میشه دونه یه چیز از بذاری معین,O O O O O O B-Artist,Play_Music
43,لطفا یه عدد ماشین بگیر من رو ببره امام فرودگاه,O O O O O O O O I-Destination B-Destination,Catch_a_Cab
44, همین حالا در  ساری  پیش بینی آب و هوا چطوره ,B-Date I-Date O B-Location O O O O O O ,Get_Weather
45,لطفا شام از برای نزدیک ترین غذافروشی دو جوجه تا کباب سفارش بده,O O O O B-Restaurant I-Restaurant I-Restaurant B-Number B-Food I-Number I-Food O O,Order_Food
46,دوشنبه پیش هوا شناسی چگونه بود,B-Date O O O O O,Get_Weather
47,یه چیز پرانرژی کن,O O O O,Play_Music
48,لطفا  یه دونه  ماشین بگیر من رو ببره  تجریش ,O O O O O O O O B-Destination ,Catch_a_Cab
49, پیش بینی هوا شناسی  اصفهان را به من بگو ,O O O O B-Location O O O O ,Get_Weather
50,میشه یه آهنگ از  استاد شجریان بذاری ,O O O O B-Artist I-Artist O ,Play_Music
51,من واسه یک عدد آژانس تا بگیر علم دانشگاه و صنعت,O O O O O O O I-Destination B-Destination I-Destination I-Destination,Catch_a_Cab
52,من برای  شام میخوام  سه تا  پیتزای مخلوط بخورم از  اژدر زاپاتا ,O O O O B-Number I-Number B-Food I-Food O O B-Restaurant I-Restaurant ,Order_Food
53,میشه از ترین برای میان وعده جوجه کباب سفارش بدی,O O I-Restaurant O O O B-Food I-Food O O,Order_Food
54,لطفا یه ترانه از شرن پخش اد کن,O O O O I-Artist O B-Artist O,Play_Music
55,یه دونه ماشین خبر کن من شما رو یا ببره فرجام,O O O O O O O O O O B-Destination,Catch_a_Cab
56,دوشنبه گذشته ژوهانسبورگ پیش آب و هوا بود,B-Date I-Date B-Location O O O O O,Get_Weather
57,لطفا  یه  تپسی بگیر من رو ببره  مترو ولیعصر ,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
58,تصویر بینی هوا شناسی چه طوری ؛,O O O O O O O ,Get_Weather
59,و برای ناهار سه تا کباب برگ از برزیل رو سفارش بدم,O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
60,یک ترانه پرفروش از کیتی بنت پری را پخش کن,O O O O B-Artist O I-Artist O O O,Play_Music
61,یه عدد آژانس کن کرایه از دانشگاه خواجه الدین نصیر تا طوسی نبوت بلوار,O O O O O O B-Departure I-Departure I-Departure I-Departure O I-Departure I-Destination B-Destination,Catch_a_Cab
62,هزینه چهار تا تخفیف فلان رستوران بیست چقدر است,O B-Number I-Number B-Food O B-Restaurant I-Restaurant O O ,Order_Food
63, یه عدد  ماشین خبر کن من رو ببره  هتل داریوش ,O O O O O O O O B-Destination I-Destination ,Catch_a_Cab
64,لطفا یه دونه ماشین بگیر رستوران روسی,O O O O O B-Destination I-Destination,Catch_a_Cab
65,میخواهم چیزی پرفروش اختراع کنم,O O O O O ,Play_Music
66,میخوام برای  شام  یه دونه  کباب برگ از  سیب 360 سفارش بدم ,O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
67, یک عدد  آژانس خبر کن من رو ببره  باشگاه ,O O O O O O O O B-Destination ,Catch_a_Cab
68,چیزی زیاد از پرطرفدارترین البوم امروز جنیفر لوپز پخش کن,O O O O O O B-Artist I-Artist O O,Play_Music
69,پیش پسفردا بینی هوا شناسی جوریه چه,O B-Date O O O O O,Get_Weather
70,میخواهم  چیزی شاد گوش کنم ,O O O O O ,Play_Music
71,یه دونه موسیقی از استاد کن,O O O O B-Artist O,Play_Music
72,من میخواهم به یه آهنگ از  گروه بیتلز گوش کنم ,O O O O O O B-Artist I-Artist O O ,Play_Music
73, یکشنبه آینده  دمای در  دوحه  چقدر است ,B-Date I-Date O O B-Location O O ,Get_Weather
74,یه نوع جوجه کباب سفارش بده,B-Number O B-Food I-Food O O,Order_Food
75,میتونی برام  یه دونه تاکسی بگیری تا  خونه ,O O O O O O O B-Destination ,Catch_a_Cab
76,یک خبر کن من ببره علم و صنعت,O O O O O I-Destination I-Destination I-Destination,Catch_a_Cab
77, اسنپ از  دانشگاه علم و صنعت تا  دانشگاه علم و صنعت  چقدر است ,O O B-Departure I-Departure I-Departure I-Departure O B-Destination I-Destination I-Destination I-Destination O O ,Catch_a_Cab
78,اسنپ حرم از امام تا رضا مهرآباد فرودگاه چند است,O B-Departure O I-Departure O I-Departure I-Destination B-Destination O O,Catch_a_Cab
79,کرایه تپسی از فلکه گاز تا حرم رجال زادگان چند تومان شد,O O O B-Departure I-Departure O B-Destination I-Destination I-Destination O O O ,Catch_a_Cab
80,پیش بینی هوا شناسی شنبه دمشق چطور قبل بود,O O O O B-Date B-Location O I-Date O,Get_Weather
81,یک  تپسی کرایه کن از  دانشگاه تهران تا  میدان کرج ,O O O O O B-Departure I-Departure O B-Destination I-Destination ,Catch_a_Cab
82,از  کافه سکوی نه و سه چهارم تا  بازار موبایل  کرایه اش  چقدر است ,O B-Departure I-Departure I-Departure I-Departure I-Departure I-Departure O B-Destination I-Destination O O O O ,Catch_a_Cab
83, درجه دما در  لندن  چقدر است ,O O O B-Location O O ,Get_Weather
84,اژانس مترو قصر تا پل خواجو چنده,O O B-Departure O B-Destination I-Destination O ,Catch_a_Cab
85,شنبه بعد پیش بینی آب هوا چی,B-Date I-Date O O O O O,Get_Weather
86, چهارشنبه آینده  هوا  چیه ,B-Date I-Date O O ,Get_Weather
87,میشه از  نزدیک ترین رستوران برای ناهار  چهار تا  فلافل سفارش بدی ,O O B-Restaurant I-Restaurant I-Restaurant O O B-Number I-Number B-Food O O ,Order_Food
88, درجه هوا در  اصفهان چنده ,O O O B-Location O ,Get_Weather
89,میخوام  یه دونه آهنگ از  محسن چاووشی بشنوم ,O O O O O B-Artist I-Artist O ,Play_Music
90, سه شنبه بعد  هوا چطور است ,B-Date I-Date I-Date O O O ,Get_Weather
91,یه آلبوم قدیمی چیز پخش کن,O O O O O O,Play_Music
92, هوا  ابوظبی را به من بگو ,O B-Location O O O O ,Get_Weather
93,؟ لطفا از نزدیک ترین جایگاه کافه خانه برای شام یک عدد چلوکباب سفارش بده,O O O B-Restaurant I-Restaurant O I-Restaurant O O O B-Number I-Number B-Food O O,Order_Food
94, پیش بینی هوا شناسی  چه جوریه ,O O O O O O ,Get_Weather
95,این اینده تگرگ می بارد,B-Date I-Date O O O ,Get_Weather
96,میتونی برام  یه  ماشین بگیری تا  خانه ,O O O O O O B-Destination ,Catch_a_Cab
97,شنبه بعد پیش بینی وضع هوا چطور است,I-Date I-Date O O O O O O,Get_Weather
98,یک تپسی کرایه از دانشگاه کن تهران میدان تا کرج,O O O O B-Departure O I-Departure B-Destination O I-Destination,Catch_a_Cab
99, یک  چیز شاد پخش کن ,O O O O O ,Play_Music
100,برای ناهار از  ساندویچ آیدا  چهار تا  کباب کوبیده سفارش بده ,O O O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
101,بارونیه,O,Get_Weather
102, پیش بینی آب و هوا  آتن  آفتابی است ,O O O O O B-Location O O ,Get_Weather
103,چند عدد ماشین خبر کن کارمون رو ببره کشتن داریوش,O O O O O O O O B-Destination I-Destination ,Catch_a_Cab
104,من  یه دونه  موسیقی شاد میخوام ,O O O O O O ,Play_Music
105,لطفا برای  شام  سه تا  ماکارونی سفارش بده ,O O O B-Number I-Number B-Food O O ,Order_Food
106,میتونی برام یک عدد تاکسی بگیر تا دانشگاه ببین,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
107,میتونی برای  میان وعده  یک عدد  کباب کوبیده سفارش بدی ,O O O O B-Number I-Number B-Food I-Food O O ,Order_Food
108,من برای ناهار مادرم میخوام چهار تا ماکارونی هم بخورم از گوشت سیب [UNK],O O O O O B-Number I-Number B-Food O O O O B-Restaurant O,Order_Food
109,خیلی طوفانی است,B-Date O O ,Get_Weather
110,میخواهم  ترانه ای  آرام گوش کنم ,O O O O O O ,Play_Music
111, یه عدد تاکسی میخوام که برم  موزه ملی ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
112,یک کرایه فلکه گاز تا ایل گلی,O O B-Departure I-Departure O B-Destination I-Destination,Catch_a_Cab
113,ماشین از تا ونک چند,O O O B-Destination O,Catch_a_Cab
114,از بازار موبایل مشهد تا میدان تیر وکیل هزینه تحصیلی اش چند ریاله,O B-Departure I-Departure O O B-Destination O I-Destination O O O O O,Catch_a_Cab
115, شنبه بعد  پیش بینی آب و هوا  چی است ,B-Date I-Date O O O O O O O ,Get_Weather
116, پیش بینی هوا شناسی  مسکو دیروز  چی بود ,O O O O B-Location B-Date O O ,Get_Weather
117,یک لطفا از موسیقی هایده پخش کن,O O O O B-Artist O O,Play_Music
118,پیش بینی اب یا هوا بارانی در,O O O O O O O ,Get_Weather
119,واسه من بگیر تا فرودگاه امام,O O O O B-Destination I-Destination,Catch_a_Cab
120,من یه یه عدد اسنپ میخوام تا من رو ببره دانشگاه,O O O O O O O O O O B-Destination,Catch_a_Cab
121,اب و دریای قاهره طوفانی است,O O O B-Location O O ,Get_Weather
122,من چیز یک غمگین از یاس گوش میخوام بدم,O O O O O B-Artist O O O,Play_Music
123,و یه دونه ماشین کرایه کن اینجا از فرودگاه مهراباد تا پردیس دانشگاه امیرکبیر,O O O O O O O O B-Departure O O O B-Destination I-Destination,Catch_a_Cab
124,لطفا یه مقاله از تیلور سويیفت پخش کن,O O O O B-Artist I-Artist O O ,Play_Music
125,من یه از فلافل سیب رستوران میخوام,O B-Number O B-Food I-Restaurant B-Restaurant O,Order_Food
126, فردا در  آتن آب و هوا  چه جوری است ,B-Date O B-Location O O O O O O ,Get_Weather
127,لطفا برای  شام  یه دونه  ماکارونی سفارش بده ,O O O B-Number I-Number B-Food O O ,Order_Food
128,برای  میان وعده از  نزدیک ترین رستوران  یه دونه  پیتزای سبزیجات سفارش بده ,O O O O B-Restaurant I-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
129,هزینه  یه دونه  فلافل از  رستوران ایتالیایی  چند ریال می شود ,O B-Number I-Number B-Food O B-Restaurant I-Restaurant O O O O ,Order_Food
130,محبوب ترین اهنگ ابی را اجرا کن,O O O B-Artist O O O ,Play_Music
131,دیروز  بغداد  پیش بینی هوا شناسی  چه طوری بود ,B-Date B-Location O O O O O O O ,Get_Weather
132,پیش بینی وضع دوبی بعد چی است,O O O B-Location I-Date O O,Get_Weather
133,یک ماشین عدد میخوام تا ببره من رو میدان نقش جهان,O O O O O O O O B-Destination I-Destination I-Destination,Catch_a_Cab
134,میتونی یه آهنگ از  گروه کویین پخش کنی ,O O O O B-Artist I-Artist O O ,Play_Music
135,دما در  کرمان چند است ,O O B-Location O O ,Get_Weather
136, الان تهران آب و هوا  چه طوری است ,B-Date B-Location O O O O O O ,Get_Weather
137, کرایه  ماشین از  پل خواجو تا  تجریش  چند است ,O O O B-Departure I-Departure O B-Destination O O ,Catch_a_Cab
138, واسه من یک تاکسی بگیر تا  فرودگاه امام ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
139,من برای ناهار میخوام  سه تا  پیتزای مخلوط بخورم از  اکبرجوجه ,O O O O B-Number I-Number B-Food I-Food O O B-Restaurant ,Order_Food
140,میتونی برای میان وعده یک عدد کباب سفارش کوبیده بدی,O O O O B-Number I-Number B-Food O I-Food O,Order_Food
141,افقهای پیش روی هوا شناسی چطور بود,B-Date O O O O O O ,Get_Weather
142,برای من ناهار میخوام عدد یک کباب کوبیده از بخورم اکبرجوجه,O O O O I-Number B-Number B-Food I-Food O O B-Restaurant,Order_Food
143, هوا  کرمان را به من بگو ,O B-Location O O O O ,Get_Weather
144,تا بازار تهران میخوام فاکتور بگیرم,O B-Destination I-Destination O O O ,Catch_a_Cab
145,میشه  یه دونه  ترانه از  ابی بذاری ,O O O O O B-Artist O ,Play_Music
146,میشه از  رستوران سیب برای  شام  چهار تا  ماکارونی سفارش بدی ,O O B-Restaurant I-Restaurant O O B-Number I-Number B-Food O O ,Order_Food
147, پیش بینی وضع هوا  قاهره  دوشنبه گذشته چطور بود ,O O O O B-Location B-Date I-Date O O ,Get_Weather
148,سه شنبه آب بعد هوا و چطوره,B-Date I-Date O I-Date O O O,Get_Weather
149,از  نزدیک ترین کافه  یه دونه  پیتزای مخصوص سفارش بده ,O B-Restaurant I-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
150,میشه از  اژدر زاپاتا برای  شام  چهار تا  چیزبرگر سفارش بدی ,O O B-Restaurant I-Restaurant O O B-Number I-Number B-Food O O ,Order_Food
151, سه شنبه بعد دما در  مشهد  چقدره ,B-Date I-Date I-Date O O B-Location O ,Get_Weather
152,از نزدیک ترین رستوران ناهار چهار تا سفارش بدی,O B-Restaurant I-Restaurant I-Restaurant O B-Number I-Number O O,Order_Food
153,اب و هوا تل تل اویو را هم به من بگو,O O O B-Location B-Location O O O O O O,Get_Weather
154,دو قیمت پیتزای تا مخصوص از نزدیک ترین رستوران هزار تومان چند می شود,B-Number O B-Food I-Number I-Food O B-Restaurant I-Restaurant I-Restaurant O O O O O,Order_Food
155,میشه یه جفت اهنگ از سر استاد شجریان بذاری,O O O O O O B-Artist I-Artist O,Play_Music
156,درجه دما دیروز فقط در بغداد چند برابر بود,O O B-Date O O B-Location O O O,Get_Weather
157,آهنگی لطفا فرزاد از فرزین پخش کن,O O B-Artist O I-Artist O O,Play_Music
158,هزینه  تپسی از  دانشگاه تهران تا  دانشگاه خواجه نصیر الدین طوسی  چنده ,O O O B-Departure I-Departure O B-Destination I-Destination I-Destination I-Destination I-Destination O ,Catch_a_Cab
159,یک  تپسی خبر کن من رو ببره  مدرسه ,O O O O O O O B-Destination ,Catch_a_Cab
160,میتونی برام دونه یه تاکسی بگیری خونه تا,O O O O O O B-Destination O,Catch_a_Cab
161,هوا جوش کرمان را به من بگو,O O B-Location O O O O,Get_Weather
162,آب و هوا  اصفهان  فردا  چی است ,O O O B-Location B-Date O O ,Get_Weather
163, یه دونه  ترانه  پرطرفدار پخش کن ,O O O O O O ,Play_Music
164,تا  فرجام میخوام  تپسی بگیرم ,O B-Destination O O O ,Catch_a_Cab
165,غمگین که موسیقی گروه من رو بذار,O O O B-Artist I-Artist O O ,Play_Music
166,لطفا  یک  چیز از  مایکل جکسون پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
167,لطفا برای ناهار از  اکبرجوجه  سه تا  پیتزای سبزیجات سفارش بده ,O O O O B-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
168,پس در قاهره آب و هوا چگونه است,B-Date O B-Location O O O O O,Get_Weather
169, دمای در  سن پترزبورگ  چند درجه فارنهایت است ,O O B-Location I-Location O O O O ,Get_Weather
170,بهترین  چیز  سال 1399 را پخش کن ,O O O O O O O ,Play_Music
171,پنجشنبه درجه دما در چند درجه است,B-Date O O O O O O,Get_Weather
172, پنجشنبه آینده  کرج آب و هوا  چه طوریه ,B-Date I-Date B-Location O O O O O ,Get_Weather
173, دوشنبه بعد  درجه دما در  استانبول  چقدره ,B-Date I-Date O O O B-Location O ,Get_Weather
174,میتونی قدیمی ترین یه چیز معین شدهای رو پخش کنی,O O O O O B-Artist O O O O,Play_Music
175,من برای وعده میان میخوام یک عدد پپرونی پیتزای بخورم از نزدیک ترین کافه,O O O O O B-Number I-Number I-Food B-Food O O B-Restaurant I-Restaurant I-Restaurant,Order_Food
176,از رستوران ایتالیایی سه تا چلوکباب بده,O B-Restaurant I-Restaurant B-Number I-Number B-Food O,Order_Food
177,درجه پریروز در اصفهان چند درجه بود,O B-Date O B-Location O O O,Get_Weather
178, دمای  پنجشنبه آینده در  کرمان  چقدر است ,O B-Date I-Date O B-Location O O ,Get_Weather
179,میتونی یه  ترانه از داریوش پخش کنی ,O O O O B-Artist O O ,Play_Music
180,میشه از  نزدیک ترین کافه برای ناهار  یه دونه  پیتزای سبزیجات سفارش بدی ,O O B-Restaurant I-Restaurant I-Restaurant O O B-Number I-Number B-Food I-Food O O ,Order_Food
181, هزینه اش  تپسی از  پل حافظ تا  رستوران روسی  چند تومن میشه ,O O O O B-Departure I-Departure O B-Destination I-Destination O O O ,Catch_a_Cab
182,میتونی یه ترانه از کنی,O O O O O,Play_Music
183, پیش بینی وضع هوا  کرج  بارانی است ,O O O O B-Location O O ,Get_Weather
184,فردا میلان پیش بینی وضع هوا جوریه,I-Date B-Location O O O O O,Get_Weather
185,برای  میان وعده از  نزدیک ترین رستوران  چهار تا  پیتزای مخلوط سفارش بده ,O O O O B-Restaurant I-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
186,توی بلوار نبوت میخوام تاکسی بگیرم,O B-Destination I-Destination O O O ,Catch_a_Cab
187, پیش بینی آب و هوا  برلین را به من بگو ,O O O O O B-Location O O O O ,Get_Weather
188,لطفا از نزدیک ترین نقطه کافه برای درست شام یه پیتزای پپرونی سفارش میدم بده,O O B-Restaurant I-Restaurant O I-Restaurant O O O B-Number B-Food I-Food O O O,Order_Food
189,دما کرمان چند است,O B-Location O O,Get_Weather
190, دو تا  جوجه کباب سفارش بده ,B-Number I-Number B-Food I-Food O O ,Order_Food
191,کرایه تلفنی اش اسنپ از محل کارم هم تا منشی هتل چند ریال است,O O O O O B-Departure I-Departure O O O B-Destination O O O,Catch_a_Cab
192,یه دونه آهنگ از محسن چاووشی,O O O O B-Artist I-Artist,Play_Music
193,میتونی برام  یه  اسنپ بگیری تا  دانشگاه تهران ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
194,میخوام برای ناهار  سه تا  کباب کوبیده از  رستوران بیست سفارش بدم ,O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
195,تا میتونی پرفروش ترین چیز البوم استاد شجریان رو پخش کنی,O O O O O O B-Artist I-Artist O O O,Play_Music
196,از  رستوران سیب  یک عدد  هات داگ سفارش بده ,O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
197,من میخواهم به یه آهنگ از گروه بیتلز کنم گوش,O O O O O O B-Artist I-Artist O O,Play_Music
198,هوا دمای دیروز در توکیو چند درجه بود سلیسیوس,O O B-Date O B-Location O O O O,Get_Weather
199,من برای  شام میخوام  یک عدد  پیتزای مخصوص بخورم از  رستوران بیست ,O O O O B-Number I-Number B-Food I-Food O O B-Restaurant I-Restaurant ,Order_Food
200,آهنگی از بهترین آلبوم  کامران و هومن پخش کن ,O O O O B-Artist I-Artist I-Artist O O ,Play_Music
201, درجه هوا  پسفردا در  ریاض چند است ,O O B-Date O B-Location O O ,Get_Weather
202, تپسی از  ایران مال تا  ایل گلی  چند تومان است ,O O B-Departure I-Departure O B-Destination I-Destination O O O ,Catch_a_Cab
203, پیش بینی وضع هوا  طوفانی است ,O O O O O O ,Get_Weather
204,بارونیه هوا,O O,Get_Weather
205,لطفا برای  میان وعده از  رستوران ایتالیایی یه  سالاد سزار سفارش بده ,O O O O O B-Restaurant I-Restaurant B-Number B-Food I-Food O O ,Order_Food
206,از  موزه ملی تا بازار تهران  کرایه اش  چند تومن میشه ,O B-Departure I-Departure O B-Destination I-Destination O O O O O ,Catch_a_Cab
207,ترین آهنگ مهستی را پخش,O O B-Artist O O,Play_Music
208, یه عدد  تپسی میخوام تا من رو ببره  دانشگاه تهران ,O O O O O O O O B-Destination I-Destination ,Catch_a_Cab
209, درجه دما  پسفردا در  اصفهان  چقدر است ,O O B-Date O B-Location O O ,Get_Weather
210, جدیدترین  چیز  یاس را پخش کن ,O O B-Artist O O O ,Play_Music
211,چهارشنبه آینده است,B-Date I-Date O,Get_Weather
212,من برای همین میخوام یک عدد پیتزای مخصوص بیاورم و رستوران بیست,O O O O B-Number I-Number B-Food I-Food O O B-Restaurant I-Restaurant ,Order_Food
213, پیش بینی هوا شناسی  میلان را به من بگو ,O O O O B-Location O O O O ,Get_Weather
214,من یک عدد از ساندویچ میخوام,O B-Number I-Number O B-Restaurant O,Order_Food
215, قیمت   آژانس از  خونه تا  شاهچراغ  چند ریال است ,O O O B-Departure O B-Destination O O O ,Catch_a_Cab
216, پس فردا در  قاهره  پیش بینی آب و هوا  چگونه است ,B-Date I-Date O B-Location O O O O O O O ,Get_Weather
217,میشه  یه دونه  چیز از  معین بذاری ,O O O O O B-Artist O ,Play_Music
218, سه شنبه بعد آب و هوا چطوره ,B-Date I-Date I-Date O O O O ,Get_Weather
219,نگو هوا ابوظبی را به من بگو,O O B-Location O O O O,Get_Weather
220,یه ساندویچ از سرد اکبرجوجه چنده,B-Number B-Food O I-Food B-Restaurant O,Order_Food
221,لطفا برای ناهار از  سیب 360  چهار تا  همبرگر سفارش بده ,O O O O B-Restaurant I-Restaurant B-Number I-Number B-Food O O ,Order_Food
