,words,words_label,intent_label
222, غمگین ترین  موسیقی  گروه کویین رو بذار ,O O O B-Artist I-Artist O O ,Play_Music
223,میتونی  یه دونه  چیز از  شماعی زاده پخش کنی ,O O O O O B-Artist I-Artist O O ,Play_Music
224,کلی یه دونه اژانس بگیر بچهها رو ببره مدرسه,O O O O O O O O B-Destination ,Catch_a_Cab
225,لطفا ساندویچ آیدا برای وعده دو تا سفارش بده,O B-Restaurant I-Restaurant O O B-Number I-Number O O,Order_Food
226, دو تا  فلافل از  رستوران بیست  چند ریال می شود ,B-Number I-Number B-Food O B-Restaurant I-Restaurant O O O O ,Order_Food
227, پس فردا  میلان  پیش بینی وضع هوا  چه جوریه ,B-Date I-Date B-Location O O O O O O ,Get_Weather
228,دوشنبه تگرگ می بارد,B-Date O O O,Get_Weather
229, یه دونه  موسیقی از  گروه کویین پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
230,لطفا از  ساندویچ آیدا برای  میان وعده  دو تا  فلافل سفارش بده ,O O B-Restaurant I-Restaurant O O O B-Number I-Number B-Food O O ,Order_Food
231, یکشنبه پیش  بغداد  پیش بینی وضع هوا چطور بود ,B-Date I-Date B-Location O O O O O O ,Get_Weather
232, یه دونه  چلوکباب از  نزدیک ترین رستوران  چنده ,B-Number I-Number B-Food O B-Restaurant I-Restaurant I-Restaurant O ,Order_Food
233,یه آژانس میخوام که برم میدان وکیل,O O O O O B-Destination I-Destination,Catch_a_Cab
234,از ترین کافه شام سه تا پیتزای سبزیجات سفارش بدی,O I-Restaurant I-Restaurant O B-Number I-Number B-Food I-Food O O,Order_Food
235,از بلوار تا نبوت مدرسه چند کرایه تومنه,O B-Departure O I-Departure B-Destination O O O,Catch_a_Cab
236,میتونی  پرطرفدارترین آهنگ  جنیفر لوپز رو پخش کنی ,O O O B-Artist I-Artist O O O ,Play_Music
237, جمعه بعد  درجه دما در  میلان  چقدره ,B-Date I-Date O O O B-Location O ,Get_Weather
238,۳ چهار تا کباب برگ سفارش بده,O B-Number I-Number B-Food I-Food O O,Order_Food
239, محبوب ترین آهنگ  مهستی را پخش کن ,O O O B-Artist O O O ,Play_Music
240, یه  تپسی میخوام که برم  میدان امام خمینی ,O O O O O B-Destination I-Destination I-Destination ,Catch_a_Cab
241,پس قراولان هوا شناسی اصفهان را به من بگو,O O O O B-Location O O O O ,Get_Weather
242,از لطفا اژدر زاپاتا برای میان وعده چهار سالاد تا سفارش سزار بده,O O B-Restaurant I-Restaurant O O O B-Number B-Food I-Number O I-Food O,Order_Food
243,من  یک عدد پیتزا از  ساندویچ آیدا میخوام ,O B-Number I-Number B-Food O B-Restaurant I-Restaurant O ,Order_Food
244, واسه من  یه  آژانس بگیر تا  محل کارم ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
245,تا  محل کارم میخوام تاکسی بگیرم ,O B-Destination I-Destination O O O ,Catch_a_Cab
246, غمگین ترین  موسیقی  کامران و هومن را پخش کن ,O O O B-Artist I-Artist I-Artist O O O ,Play_Music
247,میتونی جدیدترین موسیقی کامران کسایی هومن رام پخش کنی,O O O B-Artist I-Artist I-Artist O O O ,Play_Music
248,ولی پیش بینی وضع هوا توکیو همین همین الان چه این طوری است,O O O O O B-Location B-Date B-Date I-Date O O O O,Get_Weather
249,میتونی اسنپ بگیری تا دانشگاه تهران,O O O O B-Destination I-Destination,Catch_a_Cab
250, پسفردا  درجه دما در  تبریز  چقدره ,B-Date O O O B-Location O ,Get_Weather
251, برام  یه عدد تاکسی بگیر تا  موزه ملی ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
252,بغداد دیروز پیش بینی هوا شناسی طوری چه بود,B-Location B-Date O O O O O O O,Get_Weather
253, چهارشنبه آینده  منچستر آب و هوا  چه طوریه ,B-Date I-Date B-Location O O O O O ,Get_Weather
254,میشه برام یه چند چیز از فیلمهای فرزاد فرزین پخش کنی,O O O O O O O B-Artist I-Artist O O,Play_Music
255,تاکسی یک میخوام تا رو من ببره میدان کرج,O O O O O O O B-Destination I-Destination,Catch_a_Cab
256,میتونی هر ترانه از اونو پخش کنی,O O O O B-Artist O O ,Play_Music
257, برام یک  اسنپ بگیر تا  سهروردی ,O O O O O B-Destination ,Catch_a_Cab
258,من ناهار میخوام سه تا پیتزای از اکبرجوجه,O O O B-Number I-Number B-Food O B-Restaurant,Order_Food
259,سه تا کوبیده کباب سفارش بده,B-Number I-Number I-Food B-Food O O,Order_Food
260,میتونی چیز اد شرن پخش کنی,O O B-Artist I-Artist O O,Play_Music
261, ترانه ای از  غمگین ترین آلبوم  معین پخش کن ,O O O O O O B-Artist O O ,Play_Music
262,یه دونه موسیقی زیبا از ابی پخش کن,O O O O O B-Artist O O,Play_Music
263,من یه  فلافل از  رستوران ایتالیایی میخوام ,O B-Number B-Food O B-Restaurant I-Restaurant O ,Order_Food
264,شادترین موسیقی چاووشی رو پخش,O O I-Artist O O,Play_Music
265, پیش بینی وضع هوا  دوبی  شنبه بعد  چی است ,O O O O B-Location B-Date I-Date O O ,Get_Weather
266,برای یکشنبه اینده دمای در دوحه چقدر است است,O B-Date O O O B-Location O O O,Get_Weather
267,شنبه قبل اهواز بینی پیش شناسی هوا جوری چه بود,B-Date I-Date B-Location O O O O O O O,Get_Weather
268, یک عدد  سالاد سزار از  اکبرجوجه  چقدر میشه ,B-Number I-Number B-Food I-Food O B-Restaurant O O ,Order_Food
269,میتونی بگی اب چی و کی هوا دوبی جمعه بعد چطوره,O O O O O O O B-Location B-Date I-Date O,Get_Weather
270,برای ناهار از  ساندویچ آیدا  یک عدد  پاستای آلفردو سفارش بده ,O O O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
271, یکشنبه پیش در  سن پترزبورگ  پیش بینی وضع هوا چطور بود ,B-Date I-Date O B-Location I-Location O O O O O O ,Get_Weather
272, کرایه اش  اسنپ از  محل کارم تا  هتل  چند ریال است ,O O O O B-Departure I-Departure O B-Destination O O O ,Catch_a_Cab
273,لطفا یه  ترانه از  مایکل جکسون بذار ,O O O O B-Artist I-Artist O ,Play_Music
274,هزینه عدد جوجه از رستوران چند میشه,O I-Number B-Food O B-Restaurant O O,Order_Food
275,یه عدد ماشین میخوام برم هتل,O O O O O B-Destination,Catch_a_Cab
276,میتونی برای ناهار  دو تا  پاستای آلفردو سفارش بدی ,O O O B-Number I-Number B-Food I-Food O O ,Order_Food
277,من  دو تا  پیتزای سبزیجات از  اژدر زاپاتا میخوام ,O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O ,Order_Food
278,هزینه تاکسی از  خانه تا  دانشگاه امیرکبیر  چنده ,O O O B-Departure O B-Destination I-Destination O ,Catch_a_Cab
279,دونه یه چلوکباب از ترین نزدیک رستوران چنده,I-Number B-Number B-Food O I-Restaurant B-Restaurant I-Restaurant O,Order_Food
280,لطفا برای  میان وعده از  ساندویچ آیدا یه  ماکارونی سفارش بده ,O O O O O B-Restaurant I-Restaurant B-Number B-Food O O ,Order_Food
281,میخوام  یک  چیز  آرام از  گوگوش بشنوم ,O O O O O B-Artist O ,Play_Music
282,یه صد دونه ترانه پرانرژی پخش کن,O O O O O O O,Play_Music
283,محبوب ترین کویین موسیقی گروه رو بذار,O O I-Artist O B-Artist O O,Play_Music
284,آهنگی از گروه آریان کن,O O B-Artist I-Artist O,Play_Music
285,یه آلبوم آهنگ  پرطرفدار پخش کن ,O O O O O O ,Play_Music
286,لطفا  یه عدد  ماشین بگیر من رو ببره  فرودگاه امام ,O O O O O O O O B-Destination I-Destination ,Catch_a_Cab
287,یه دونه دونه ترانه از یاس بشنوم,O O O O O B-Artist O ,Play_Music
288,میتونی برام  یک عدد  تپسی بگیری تا  خانه ,O O O O O O O B-Destination ,Catch_a_Cab
289, یه دونه  جوجه کباب از  سیب 360  چند میشه ,B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
290,از  رستوران ایتالیایی  یک عدد  پیتزای مخصوص سفارش بده ,O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
291,درجه دما دیروز در چند اصفهان سلیسیوس درجه بود,O O B-Date O O B-Location O O O,Get_Weather
292, یه دونه  موسیقی  زیبا از  ابی پخش کن ,O O O O O B-Artist O O ,Play_Music
293,من یه دونه اهنگ غمگین میخواهم میخوام,O O O O O O O,Play_Music
294, یک  ترانه از  جنیفر لوپز پخش کن ,O O O B-Artist I-Artist O O ,Play_Music
295,دما  یکشنبه آینده در  میلان  چند درجه فارنهایت است ,O B-Date I-Date O B-Location O O O O ,Get_Weather
296,اکبرجوجه میشه از برای شام تا دو پیتزای سبزیجات سفارش بدی,B-Restaurant O O O O I-Number B-Number B-Food I-Food O O,Order_Food
297,یک مسافر خبر کن من فقط ببره خوابگاه,O O O O O O O B-Destination ,Catch_a_Cab
298, شنبه بعد در  تبریز  پیش بینی آب و هوا چطوره ,B-Date I-Date O B-Location O O O O O O ,Get_Weather
299,یک تپسی من رو ببره سهروردی,O O O O O B-Destination,Catch_a_Cab
300,توی ماشین خبر کن من میخوام ببره پل خواجو,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
301,و میتونی برای میان وعده یه پیتزا رولی سفارش بدی,O O O O O B-Number B-Food O O O,Order_Food
302,مدرسه از تا فلکه قیمت گاز چند تومان است,B-Departure O O B-Destination O I-Destination O O O,Catch_a_Cab
303,اگه میتونی برام گفت یه عدد تپسی بگیری تا ایران مال,O O O O O O O O O B-Destination I-Destination,Catch_a_Cab
304,میتونی پیش بینی آب هوا یزد شنبه بعد,O O O O O B-Location B-Date I-Date,Get_Weather
305, ماشین از  بازار تهران تا  فرجام  چند تومنه ,O O B-Departure I-Departure O B-Destination O O ,Catch_a_Cab
306, شنبه قبل در  ریاض  هوا  چه طوری بود ,B-Date I-Date O B-Location O O O O ,Get_Weather
307,دیروز  هوا چطور بود ,B-Date O O O ,Get_Weather
308,لطفا واسه میان وعده یه چلوکباب عالی سفارش بده,O O O O B-Number B-Food I-Food O O ,Order_Food
309,لطفا  موسیقی ای از  تیلور سویفت پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
310,من  یه دونه آهنگ  غمگین میخوام ,O O O O O O ,Play_Music
311,میخوام  یه دونه  موسیقی  پرفروش از  گروه بیتلز بشنوم ,O O O O O O B-Artist I-Artist O ,Play_Music
312, پرفروش ترین آهنگ  احسان خواجه امیری رو بذار ,O O O B-Artist I-Artist I-Artist O O ,Play_Music
313, پسفردا  تگرگ می بارد ,B-Date O O O ,Get_Weather
314,من برای ناهار میخوام  چهار تا  ماکارونی بخورم از  سیب 360 ,O O O O B-Number I-Number B-Food O O B-Restaurant I-Restaurant ,Order_Food
315,هزینه  یک عدد  جوجه کباب از  رستوران ایتالیایی  چند میشه ,O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
316,لطفا یا برای ناهار یه دونه چلوکباب سلطانی سفارش منو بده,O O O O B-Number I-Number B-Food I-Food O O O,Order_Food
317,لطفا از  رستوران سیب برای  میان وعده یه  کباب برگ سفارش بده ,O O B-Restaurant I-Restaurant O O O B-Number B-Food I-Food O O ,Order_Food
318,لطفا برای  شام از  نزدیک ترین رستوران  یه دونه  پیتزای یونانی سفارش بده ,O O O O B-Restaurant I-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
319, دمای هوا دیروز در  توکیو  چند درجه سلیسیوس بود ,O O B-Date O B-Location O O O O ,Get_Weather
320,یه  هات داگ سفارش بده ,B-Number B-Food I-Food O O ,Order_Food
321,آب و هوا  استانبول  جمعه بعد  چه جوری است ,O O O B-Location B-Date I-Date O O O ,Get_Weather
322, شنبه بعد باران می بارد ,B-Date I-Date O O O ,Get_Weather
323,بعد دوشنبه درجه دما استانبول در چقدره,I-Date B-Date O O B-Location O O,Get_Weather
324,برای میتونی دو شام تا سالاد یونانی سفارش بدی,O O B-Number O I-Number B-Food I-Food O O,Order_Food
325,لطفا  یک  موسیقی از  هایده پخش کن ,O O O O B-Artist O O ,Play_Music
326,ترانه ای از غمگین امین البوم معین گوش کن,O O O O O O B-Artist O O ,Play_Music
327,آب و هوا  قاهره  طوفانی است ,O O O B-Location O O ,Get_Weather
328,شنبه روز قبل در دوحه پیش بینی اب بخار و هوا شرکت چی بود,B-Date O I-Date O B-Location O O O O O O O O O,Get_Weather
329,لطفا برای ناهار  چهار تا  سالاد سزار سفارش بده ,O O O B-Number I-Number B-Food I-Food O O ,Order_Food
330, شادترین  موسیقی  محسن چاووشی رو پخش کن ,O O B-Artist I-Artist O O O ,Play_Music
331,دوشنبه گذشته پیش بینی وضع بازار چه بوده بود,B-Date I-Date O O O O O O O ,Get_Weather
332,آهنگ پرفروش از گروه کویین پخش کن,O O O B-Artist I-Artist O O,Play_Music
333,هزینه یه فلافل رستوران ایتالیایی چند ریال می,O B-Number B-Food B-Restaurant I-Restaurant O O O,Order_Food
334,بهترین  موسیقی  شهرام ناظری را پخش کن ,O O B-Artist I-Artist O O O ,Play_Music
335,میخواهم  چیزی  جدید گوش کنم ,O O O O O ,Play_Music
336,دونه یه تپسی میخوام که خونه برم,O O O O O B-Destination O,Catch_a_Cab
337,لطفا یه آهنگ از  احسان خواجه امیری پخش کن ,O O O O B-Artist I-Artist I-Artist O O ,Play_Music
338,من  یک آهنگ  محبوب از  فریدون فرخزاد میخوام گوش بدم ,O O O O O B-Artist I-Artist O O O ,Play_Music
339,ترین ترانه ریحانا رو پخش کن,O O B-Artist O O O,Play_Music
340,کرایه تاکسی از خانه اموزشی دانشگاه امیرکبیر چنده,O O O B-Departure O B-Destination I-Destination O ,Catch_a_Cab
341, دوشنبه بعد  درجه دما در  قاهره چند است ,B-Date I-Date O O O B-Location O O ,Get_Weather
342,ترین موسیقی کامران و هومن را کن,O O B-Artist I-Artist I-Artist O O,Play_Music
343,تپسی میخوام که برم میدان خمینی,O O O O B-Destination I-Destination,Catch_a_Cab
344, اسنپ از  همین جا تا  شاهچراغ  چند است ,O O B-Departure I-Departure O B-Destination O O ,Catch_a_Cab
345,میشه یک اهنگ از نیکی ولی,O O O O B-Artist O ,Play_Music
346,دیروز  پیش بینی هوا شناسی چطور بود ,B-Date O O O O O O ,Get_Weather
347,پرفروش ترین اهنگ احسان خواجه ارای امیری رو ندید بذار,O O O B-Artist I-Artist O I-Artist O O O,Play_Music
348,من یه  فلافل از  رستوران سیب میخوام ,O B-Number B-Food O B-Restaurant I-Restaurant O ,Order_Food
349,شنبه ساعتی بعد ، در شانگهای پیش بینی اب و هوای هوا چیه,B-Date O I-Date O O B-Location O O O O O O O,Get_Weather
350,همین محل کارم میخوام تاکسی بگیرم,O B-Destination I-Destination O O O ,Catch_a_Cab
351,لطفا دی ای از تیلور سویفت پخش شود,O O O O B-Artist I-Artist O O ,Play_Music
352,درجه رطوبت پسفردا در افتاب چند است,O O B-Date O B-Location O O ,Get_Weather
353,قیمت از خونه تا شاهچراغ چند است,O O B-Departure O B-Destination O O,Catch_a_Cab
354,یکشنبه پیش بغداد پیش بینی هوا بود,B-Date O B-Location O O O O,Get_Weather
355,تا  بلوار نبوت میخوام تاکسی بگیرم ,O B-Destination I-Destination O O O ,Catch_a_Cab
356,یک ترانه محسن از چاووشی کن پخش,O O B-Artist O I-Artist O O,Play_Music
357, یه دونه  ماشین خبر کن من رو ببره  فرجام ,O O O O O O O O B-Destination ,Catch_a_Cab
358,میشه برام قطعات موسیقی و ریحانا پخش کنی,O O O O O B-Artist O O ,Play_Music
359,اما لطفا از رستوران سیب برای ما میان وعده یه کباب دو برگ سفارش بده,O O O B-Restaurant I-Restaurant O O O O B-Number B-Food O I-Food O O,Order_Food
360,یه  چیز  محبوب از  کامران و هومن پخش کن ,O O O O B-Artist I-Artist I-Artist O O ,Play_Music
361,لطفا از  نزدیک ترین کافه برای ناهار  یک عدد  پیتزای یونانی سفارش بده ,O O B-Restaurant I-Restaurant I-Restaurant O O B-Number I-Number B-Food I-Food O O ,Order_Food
362, پریروز  پیش بینی هوا شناسی  چگونه بود ,B-Date O O O O O O ,Get_Weather
363,میشه از  رستوران ایتالیایی برای  میان وعده  چهار تا  چیزبرگر سفارش بدی ,O O B-Restaurant I-Restaurant O O O B-Number I-Number B-Food O O ,Order_Food
364, یکشنبه پیش  بغداد  پیش بینی هوا شناسی  چگونه بود ,B-Date I-Date B-Location O O O O O O ,Get_Weather
365,میتونی پرطرفدارترین داریوش رو پخش,O O B-Artist O O,Play_Music
366,سردترین در سن پترزبورگ چند درجه فارنهایت بودهاست,O O B-Location I-Location O O O O ,Get_Weather
367,برام یه عدد تاکسی میخوام تا موزه بساز,O O O O O O B-Destination I-Destination ,Catch_a_Cab
368,بهترین موسیقی از شکیرا رو پخش کن,O O O B-Artist O O O,Play_Music
369,فاصله از سوپرمارکت تا بازار موبایل چنده,O O B-Departure O B-Destination I-Destination O ,Catch_a_Cab
370,میخوام یه  چیز  پرفروش از  گروه بیتلز بشنوم ,O O O O O B-Artist I-Artist O ,Play_Music
371,میخوام یک عالمه ترانه از کیتی بن پری بشنوم,O O O O O B-Artist O I-Artist O,Play_Music
372, فردا  لندن  پیش بینی آب و هوا  چیه ,B-Date B-Location O O O O O O ,Get_Weather
373, قیمت  سه تا  کباب کوبیده از  اکبرجوجه  چند هزار تومان می شود ,O B-Number I-Number B-Food I-Food O B-Restaurant O O O O O ,Order_Food
374,شنبه بعد ظهر تبریز باران بینی اب و هوا …,B-Date I-Date O B-Location O O O O O O ,Get_Weather
375,یک تاکسی میخوام تا من رو ببره  میدان کرج ,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
376,از نزدیک ترین کافه یه پیتزای شخصی درست بده,O B-Restaurant I-Restaurant I-Restaurant B-Number B-Food I-Food O O ,Order_Food
377,میشه از  نزدیک ترین غذافروشی برای  میان وعده  چهار تا  جوجه کباب سفارش بدی ,O O B-Restaurant I-Restaurant I-Restaurant O O O B-Number I-Number B-Food I-Food O O ,Order_Food
378,فردا طوفانیه,I-Date O,Get_Weather
379,میخوام تو میان وعده یک وعده پک داگ از نزدیک ترین کافه سفارش بدم,O O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant I-Restaurant O O ,Order_Food
380,یه همبرگر دونه از سیب چقدر 360 است,B-Number B-Food I-Number O B-Restaurant O I-Restaurant O,Order_Food
381,یک  تپسی کرایه کن از  فلکه گاز تا  ایل گلی ,O O O O O B-Departure I-Departure O B-Destination I-Destination ,Catch_a_Cab
382,لطفا برای  شام از  نزدیک ترین غذافروشی  دو تا  جوجه کباب سفارش بده ,O O O O B-Restaurant I-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
383,من  یه دونه  چیز  پرفروش میخوام ,O O O O O O ,Play_Music
384,من هم چهار هزار تا پیتزای مخصوص از نزدیک ترین بخش رستوران میخوام,O O B-Number O I-Number B-Food I-Food O B-Restaurant I-Restaurant O I-Restaurant O,Order_Food
385,از  نزدیک ترین کافه  دو تا  پیتزای پپرونی سفارش بده ,O B-Restaurant I-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
386,یه تاکسی خبر کن همه رو ببره پل خونه,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
387,از  رستوران سیب  دو تا  جوجه کباب سفارش بده ,O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
388,میخوام  یک  ترانه از  کیتی پری بشنوم ,O O O O B-Artist I-Artist O ,Play_Music
389, پسفردا  پیش بینی هوا شناسی  چه جوریه ,B-Date O O O O O O ,Get_Weather
390,من میخواهم صبحها به یک کنسرت موسیقی از مایکل مایلی سایرس گوش کنم,O O O O O O O O O B-Artist I-Artist O O,Play_Music
391,من یه  ترانه شاد از  مایلی سایرس میخوام گوش بدم ,O O O O O B-Artist I-Artist O O O ,Play_Music
392,یه عدد که برم موزه ملی,O O O O B-Destination I-Destination,Catch_a_Cab
393, غمگین ترین  موسیقی  گروه بیتلز رو پخش کن ,O O O B-Artist I-Artist O O O ,Play_Music
394,تا دانشگاه بگیرم میخوام تپسی بگیرم,O B-Destination I-Destination O O O ,Catch_a_Cab
395,لطفا از رستوران ارکید برای  شام  یه دونه  فلافل سفارش بده ,O O B-Restaurant I-Restaurant O O B-Number I-Number B-Food O O ,Order_Food
396,تاکسی از  بازار موبایل تا  حرم امام رضا  چند تومان است ,O O B-Departure I-Departure O B-Destination I-Destination I-Destination O O O ,Catch_a_Cab
397,میشه  یک  چیز از  شکیرا  بذاری ,O O O O B-Artist O ,Play_Music
398,یک لطفا عدد بگیر ماشین من رو ایل ببره گلی,O O O O O O O B-Destination O I-Destination,Catch_a_Cab
399,لطفا از  نزدیک ترین کافه برای  شام  یک عدد  چلوکباب سفارش بده ,O O B-Restaurant I-Restaurant I-Restaurant O O B-Number I-Number B-Food O O ,Order_Food
400,لطفا یه اون دونه ترانه از بدن احسان خواجه امیری بذار,O O O O O O O B-Artist I-Artist I-Artist O,Play_Music
401,لطفا یک چیز مایکل جکسون کن,O O O B-Artist I-Artist O,Play_Music
402,یه ناهار از مادر ایدا چهار تا کباب سیخی سفارش بده,O O O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
403,عدد میخوام من رو ببره رستوران روسی,O O O O O B-Destination I-Destination,Catch_a_Cab
404, یکشنبه آینده  دمای هوا در  رم  چقدر است ,B-Date I-Date O O O B-Location O O ,Get_Weather
405,حالا یه عدد اسنپ بگیر تا …,O O O O O O B-Destination ,Catch_a_Cab
406, یک آلبوم  موسیقی  زیبا پخش کن ,O O O O O O ,Play_Music
407, قیمت  چهار تا  جوجه کباب از  اژدر زاپاتا  چند میشه ,O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
408, پنجشنبه آینده  تگرگ می بارد ,B-Date I-Date O O O ,Get_Weather
409, چهار تا  هات داگ سفارش بده ,B-Number I-Number B-Food I-Food O O ,Order_Food
410, شنبه قبل  پیش بینی وضع هوا  چگونه بود ,B-Date I-Date O O O O O O ,Get_Weather
411,از رستوران دو تا جوجه کباب سفارش,O B-Restaurant B-Number I-Number B-Food I-Food O,Order_Food
412,برای یک من تپسی تا بگیر خونه,O O O O O O B-Destination,Catch_a_Cab
413,یک  تپسی کرایه کن از  رستوران روسی تا  هتل ,O O O O O B-Departure I-Departure O B-Destination ,Catch_a_Cab
414,اب و هوا «,O O O O ,Get_Weather
415,من  یک  چیز  غمگین از  یاس میخوام گوش بدم ,O O O O O B-Artist O O O ,Play_Music
416,یک تپسی کرایه کن از تا نقش,O O O O O O I-Destination,Catch_a_Cab
417,از ساندویچ آیدا برای یک عدد چیزبرگر سفارش بده,O B-Restaurant I-Restaurant O B-Number I-Number B-Food O O,Order_Food
418,یک  اسنپ خبر کن من رو ببره  مدرسه ,O O O O O O O B-Destination ,Catch_a_Cab
419, یک عدد  ماشین میخوام تا من رو ببره  میدان نقش جهان ,O O O O O O O O B-Destination I-Destination I-Destination ,Catch_a_Cab
420,ماشین از بازار نیشابور تا اتوبوس چند تومنه,O O B-Departure I-Departure O B-Destination O O ,Catch_a_Cab
421, پیش بینی هوا شناسی  چیه ,O O O O O ,Get_Weather
422,میتونی برام یه عدد بگیری تا میدان,O O O O O O B-Destination,Catch_a_Cab
423,از یک عدد هات داگ سفارش بده,O B-Number I-Number B-Food I-Food O O,Order_Food
424,میتونی  یک  چیز از  یاس پخش کنی ,O O O O B-Artist O O ,Play_Music
425,لطفا برای  شام  چهار تا  پیتزای سبزیجات سفارش بده ,O O O B-Number I-Number B-Food I-Food O O ,Order_Food
426,میخواهم آهنگی  زیبا گوش کنم ,O O O O O ,Play_Music
427,پسفردا درجه گاز تا تبریز چقدره,B-Date O O O B-Location O ,Get_Weather
428,اش هزینه از تپسی حافظ پل تا رستوران روسی چند تومن میشه,O O O O I-Departure B-Departure O B-Destination I-Destination O O O,Catch_a_Cab
429,میخوام برای ناهار  چهار تا پیتزا از  اکبرجوجه سفارش بدم ,O O O B-Number I-Number B-Food O B-Restaurant O O ,Order_Food
430,لطفا برای ناهار  یه دونه  چلوکباب سلطانی سفارش بده ,O O O B-Number I-Number B-Food I-Food O O ,Order_Food
431,یک اسنپ کن خبر رو من ببره سهروردی,O O O O O O O B-Destination,Catch_a_Cab
432, همین الان برفیه ,B-Date I-Date O ,Get_Weather
433,میخوام یه دونه اهنگ اهنگ محبوب از شکیرا را بشنوم,O O O O O O O B-Artist O O,Play_Music
434,چهارشنبه اینده منچستر منچستر اب و هوا خوب چه طوریه,B-Date O B-Location B-Location O O O O O O,Get_Weather
435,میشه از  رستوران بیست برای  میان وعده  یه دونه  پیتزای مخلوط سفارش بدی ,O O B-Restaurant I-Restaurant O O O B-Number I-Number B-Food I-Food O O ,Order_Food
436,یه آژانس میخوام که خونه,O O O O B-Destination,Catch_a_Cab
437,لطفا یه  چیز از  سیاوش قمیشی بذار ,O O O O B-Artist I-Artist O ,Play_Music
438,بنابراین من یک اهنگ شاد از از مایکل جکسون میخوام گوش بدیم بدم,O O O O O O O B-Artist I-Artist O O O O,Play_Music
439,میتوانی برام یک اژانس بگیری تا بیاوری حافظ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
440,لطفا الان یه دونه ماشین بگیر من رو براتون ببره تجریش,O O O O O O O O O O B-Destination,Catch_a_Cab
441, همین الان در  پکن آب و هوا  چه طوریه ,B-Date I-Date O B-Location O O O O O ,Get_Weather
442, یه دونه  موسیقی از  استاد شجریان پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
443,چیز سال را پخش کن,O O O O O,Play_Music
444,میخوام  یه دونه  ترانه از  یاس بشنوم ,O O O O O B-Artist O ,Play_Music
445,من یه تا چیز ارام از شکیرا میخوام گوش نشون بدم,O O O O O O B-Artist O O O O,Play_Music
